pedido_id,cliente_id,produto_id,quantidade,data,valor_total
O001,C001,P001,1,2026-01-08,4299.90
O002,C001,P002,2,2026-01-08,259.80
O003,C002,P006,1,2026-01-12,1199.00
O004,C003,P003,1,2026-01-17,249.90
O005,C004,P004,3,2026-01-22,4197.00
O006,C005,P005,1,2026-02-02,399.90
O007,C006,P008,2,2026-02-05,559.80
O008,C007,P007,4,2026-02-11,1319.60
O009,C008,P002,1,2026-02-18,129.90
O010,C003,P004,1,2026-02-23,1399.00
O011,C002,P003,2,2026-03-03,499.80
O012,C005,P001,1,2026-03-09,4299.90
O013,C006,P005,1,2026-03-14,399.90
O014,C007,P006,2,2026-03-21,2398.00
O015,C001,P008,1,2026-03-28,279.90
